ticker,sf,fmp_orig,v1_addcomp,v2_subDR,v3_subDR_AE_OCL,v1_pct,v2_pct,v3_pct,orig_pct
PCRX,301033000.0,309920000.0,229796000.0,309920000.0,229796000.0,-23.66418299654855,2.9521680347337336,-23.66418299654855,2.9521680347337336
SM,789000000.0,789950000.0,391785000.0,789950000.0,456745000.0,-50.344106463878326,0.12040557667934094,-42.11089987325729,0.12040557667934094
LAUR,367895000.0,367895000.0,127141000.0,303555000.0,127141000.0,-65.44095462020414,-17.48868563041085,-65.44095462020414,0.0
PAY,81550000.0,81550000.0,52151000.0,78613000.0,52151000.0,-36.05027590435316,-3.601471489883507,-36.05027590435316,0.0
PANW,6718800000.0,7682700000.0,1080200000.0,2141600000.0,1080200000.0,-83.92272429600524,-68.12526046317795,-83.92272429600524,14.34631184140025
IRDM,169214000.0,169214000.0,57876000.0,117644000.0,57876000.0,-65.79715626366612,-30.47620173271715,-65.79715626366612,0.0
LFST,228886000.0,228886000.0,63941000.0,228886000.0,63941000.0,-72.06425906346391,0.0,-72.06425906346391,0.0
NBIX,507700000.0,507700000.0,110000000.0,507700000.0,110000000.0,-78.33366161118771,0.0,-78.33366161118771,0.0
CNXN,371205000.0,371205000.0,309800000.0,344719000.0,309800000.0,-16.542072439757007,-7.135140959846985,-16.542072439757007,0.0
IQV,6957000000.0,6957000000.0,2037000000.0,5178000000.0,2037000000.0,-70.72013799051315,-25.571366968520913,-70.72013799051315,0.0
CWAN,77052000.0,77052000.0,14495000.0,69723000.0,14495000.0,-81.18802886362457,-9.511758293100762,-81.18802886362457,0.0
SCS,619400000.0,607100000.0,259000000.0,562300000.0,256400000.0,-58.18534065224411,-9.218598643848885,-58.60510171133355,-1.9857927026154343
AROC,188604000.0,188604000.0,70122000.0,181672000.0,70122000.0,-62.82051282051282,-3.675425759793005,-62.82051282051282,0.0
SIBN,27132000.0,27132000.0,7640000.0,27132000.0,7640000.0,-71.84136812619785,0.0,-71.84136812619785,0.0
IDCC,725810000.0,725810000.0,471933000.0,547801000.0,471933000.0,-34.97843788319257,-24.525564541684464,-34.97843788319257,0.0
BLDR,1777276000.0,1777276000.0,1047967000.0,1609068000.0,1047967000.0,-41.03521343899315,-9.464371318804734,-41.03521343899315,0.0
ACLS,207522000.0,207522000.0,48273000.0,112849000.0,48273000.0,-76.73836990776881,-45.620705274621486,-76.73836990776881,0.0
RPM,1466064000.0,1466064000.0,785863000.0,1466064000.0,785863000.0,-46.39640561394318,0.0,-46.39640561394318,0.0
CMPR,663963000.0,663963000.0,413600000.0,617845000.0,413600000.0,-37.70737224815238,-6.945868971614382,-37.70737224815238,0.0
